412,460
415,712
519,458
377,93
67,712
112,712
45,460
696,344
348,712
383,889
980,712
353,460
139,460
96,344
181,712
616,712
1027,712
534,460
414,712
855,712
219,712
96,344
45,460
138,712
436,344
4,469
519,458
409,344
440,460
538,460
45,460
50,712
569,890
343,712
519,458
548,712
693,460
499,460
45,460
883,712
1027,712
100,712
454,712
353,460
131,460
216,460
101,192
146,460
537,460
148,460
390,93
46,712
131,460
208,344
683,712
421,712
412,460
566,712
519,458
142,344
693,460
730,344
45,460
528,460
412,460
463,460
462,712
142,344
171,344
152,712
45,344
493,460
412,344
423,712
462,712
142,344
171,344
160,712
253,712
795,712
412,344
367,712
169,344
54,344
147,712
216,460
45,460
512,712
412,344
367,712
462,344
54,460
171,344
152,712
426,712
493,460
412,460
367,712
105,712
174,344
123,460
16,344
563,460
437,712
537,460
367,185
217,344
54,460
163,460
152,712
53,344
493,460
537,460
367,712
535,344
54,460
123,344
634,460
53,344
397,344
412,848
367,712
406,93
54,460
163,458
634,344
77,712
787,712
412,460
367,712
422,712
206,344
669,712
208,344
1041,344
453,460
135,951
367,185
422,712
54,460
11,712
730,712
506,460
544,712
55,712
367,185
57,848
54,460
171,344
216,460
5,712
98,460
55,460
367,712
25,93
54,460
171,344
176,460
205,712
98,460
55,460
367,712
129,460
54,460
432,888
475,344
1041,344
98,460
215,712
367,185
527,460
54,460
480,712
395,344
418,460
194,712
55,460
367,185
788,93
14,460
488,93
355,460
378,344
194,712
55,460
367,185
366,344
54,460
962,712
355,460
715,712
66,712
55,460
367,185
527,344
198,712
488,458
355,460
450,712
568,407
55,460
367,712
161,93
126,712
376,712
909,712
474,460
2,712
135,951
367,712
145,712
206,460
541,344
267,712
474,460
178,460
175,712
367,712
161,458
158,460
749,712
395,342
474,460
74,460
55,460
766,712
209,460
54,460
749,712
355,460
474,460
178,344
55,460
367,712
161,458
54,460
533,712
467,344
474,460
178,344
55,460
367,712
41,712
54,460
115,712
467,344
474,460
210,344
135,951
367,712
161,458
94,712
179,460
578,712
474,460
178,344
420,344
367,185
161,93
174,460
59,458
363,344
474,344
210,344
420,344
367,185
639,890
182,344
211,712
259,712
474,460
178,344
444,460
367,185
743,712
6,712
51,712
419,344
474,460
74,106
420,460
140,460
639,344
54,460
115,712
570,712
474,460
210,344
577,460
68,460
639,890
265,344
115,451
363,344
474,460
910,712
204,460
639,890
393,460
59,93
200,460
